N P K temperature rainfall humidity ph label
LowN LowP HighK HighTemperature HighRainfall HighHumidity LowPh coconut
HighN LowP HighK LowTemperature HighRainfall HighHumidity HighPh jute
HighN HighP LowK LowTemperature HighRainfall HighHumidity LowPh maize
HighN LowP LowK LowTemperature HighRainfall HighHumidity LowPh coffee
HighN HighP HighK LowTemperature HighRainfall HighHumidity LowPh rice
HighN HighP LowK HighTemperature HighRainfall HighHumidity HighPh mango
HighN LowP HighK LowTemperature HighRainfall HighHumidity HighPh rice
HighN LowP HighK HighTemperature LowRainfall HighHumidity HighPh watermelon
HighN LowP HighK HighTemperature LowRainfall HighHumidity LowPh muskmelon
HighN HighP LowK LowTemperature HighRainfall HighHumidity LowPh maize
HighN LowP LowK HighTemperature LowRainfall HighHumidity HighPh mothbeans
LowN HighP LowK HighTemperature HighRainfall HighHumidity HighPh pigeonpeas
LowN HighP LowK HighTemperature LowRainfall HighHumidity LowPh mothbeans
HighN HighP HighK HighTemperature LowRainfall LowHumidity HighPh mango
LowN LowP HighK LowTemperature HighRainfall HighHumidity LowPh pomegranate
LowN LowP HighK LowTemperature HighRainfall HighHumidity LowPh pomegranate
HighN LowP HighK HighTemperature HighRainfall HighHumidity HighPh jute
LowN LowP LowK HighTemperature LowRainfall HighHumidity LowPh mango
LowN HighP LowK LowTemperature HighRainfall LowHumidity HighPh lentil
HighN HighP HighK HighTemperature LowRainfall HighHumidity HighPh papaya
LowN LowP HighK LowTemperature LowRainfall HighHumidity HighPh mango
LowN LowP LowK HighTemperature HighRainfall HighHumidity LowPh mango
